name,category,description,address,phone,url,hours,what_they_offer,who_for,referral_needed,referral_contact,last_verified
The Bridge Project,food,"Hot meals, clothing and essentials run by the Salvation Army in central Blackpool.","Salvation Army, 37 Reads Ave, Blackpool FY1 4BT",01253 624 216,https://www.salvationarmy.org.uk,"mon,tue,thu,fri:10:00-13:00",hot food|clothing|essentials,all,no,,2026-03-01
Street Angels,outreach,Volunteer outreach on Monday evenings and a safe space on Saturday nights in the town centre.,Blackpool Town Centre (roaming Mon / base TBC Sat),07700 000001,https://www.streetangels.org.uk,mon:20:00-23:00;sat:22:00-02:00,outreach|safety|emotional support,all,no,,2026-03-01
Helping Hearts Fylde,shelter,Severe Weather Emergency Protocol (SWEP) shelter. Active when temperatures drop to 0C or below.,Blackpool - call for current location,07700 000002,https://www.helpingheartsfylde.co.uk,"mon,tue,wed,thu,fri,sat,sun:20:00-08:00",emergency shelter|warmth|bedding,rough_sleepers,no,,2026-03-01
Homeless Action,outreach,Specialist support and referral service for people experiencing homelessness in Blackpool.,Blackpool - referral only / call for details,01253 272 599,,"mon,tue,wed,thu,fri:09:00-17:00",referral|housing support|advocacy,rough_sleepers,yes,Call 01253 272 599 to self-refer,2026-03-01
Streetlife,other,Drop-in support for young people aged 16-25 - mental health housing benefits and more.,"48 Buchanan St, Blackpool FY1 3EH",01253 625 034,,"mon,tue,wed,thu,fri:09:00-17:00",mental health|housing advice|benefits help|drop-in,young_people,no,,2026-03-01
The Big Food Truck,food,Free hot food from a mobile truck - locations vary. Check Facebook for today's stop.,Varies - see Facebook page for location,07700 000003,https://www.facebook.com/thebigfoodtruck,"mon,tue,thu:12:00-14:00",hot food|drinks,all,no,,2026-03-01
Blackpool Food Bank (Big Food Project),food,Emergency food parcels for individuals and families in crisis. Referral required - see details.,Blackpool - referral required / call for location,01253 477 100,https://www.bigfoodproject.co.uk,"tue,thu:10:00-12:00",food parcels|toiletries,families,yes,"Referral via GP, social worker, or Citizens Advice",2026-03-01
Empowerment Blackpool,other,Mental health support and community groups - including a men's group. Welcoming and informal.,Blackpool - call for current venue,01253 477 200,,"tue,thu:10:00-15:00",mental health|peer support|men's groups,all,no,,2026-03-01
STAR Blackpool,other,Community mental health recovery support - self-referral welcome / drop-in available.,Blackpool - call for address,01253 477 300,,"mon,tue,wed,thu,fri:09:00-16:00",mental health|recovery support|drop-in,all,no,,2026-03-01
Amazing Graze,food,"Free shop, soup kitchen and hot pizza.","44 Bolton St, FY1 6AA",07522 816826,https://amazinggraze.org,"tue,thu,fri,sat:17:00-20:00",hot food|food parcels|pizza,all,no,,2026-04-19
His Provision,food,Emergency food parcels and family community meals.,"272 Central Drive, FY1 5JW",01253 292977,https://www.hisprovision.org,"mon,tue,wed,thu,fri:10:30-13:00",food parcels|family meals,all,no,,2026-04-19
Comfort Cafe,food,Sit-down hot meal and takeaway containers.,"135 Caunce St, FY1 3NJ",01253 624502,https://stthomasblackpool.org,tue:11:00-12:30,hot food|takeaway,all,no,,2026-04-19
St Peter's Church,food,"Free hot evening meal, fruit and drinks.","190 Lytham Rd, FY1 6DJ",01253 342168,https://stpetersblackpool.org,tue:18:00-20:00,hot food|drinks,all,no,,2026-04-19
The Well Cafe,food,Fresh 3-course lunch and peer support.,"Westcliffe Drive, FY3 7HR",01253 391514,https://iwell.org.uk,"wed,fri:12:30-14:00",3-course meal|takeaway,all,no,,2026-04-19
Sacred Heart,food,Immediate emergency food parcels.,"17 Talbot Rd, FY1 1LB",01253 623564,https://sacredheartblackpool.org,"thu,fri:10:00-11:00",food parcels,all,no,,2026-04-19
Holy Cross,food,Saturday soup kitchen and hot takeaway.,"Central Drive, FY1 6LA",01253 341641,https://holycrossblackpool.org,sat:16:30-18:00,hot food|takeaway,all,no,,2026-04-19
Victory Baptist,food,Weekly community meal and fellowship.,"41 St Annes Rd, FY4 2AP",01253 345205,https://victorybaptist.org.uk,wed:15:00-17:00,hot food|drinks,all,no,,2026-04-19
